client_name,project_id,survey_date,survey_type,score,nps_category,feedback_text,sentiment,key_themes,follow_up_required,follow_up_owner,follow_up_status,account_manager
Client E,PROJ-025,2026-05-19,NPS,4.7,Promoter,Industry class current painting their appear lose he various represent middle by base civil last message store begin treat stage this us increase how hear.,Positive,"['Communication', 'Quality']",True,Brad Walker,Closed,Brett Espinoza
Client H,PROJ-032,2026-03-01,NPS,1.4,Detractor,Social case expert stop receive catch relationship large accept bad eight strong nature road month book explain feeling answer information.,Positive,"['Delivery', 'Support']",True,Joyce Rodriguez,Closed,Linda Smith
Client E,PROJ-032,2026-05-14,QBR,4.7,Promoter,Offer responsibility fact ability good number cost property model guess well name skill medical after them analysis hit health section ground attack drop price billion.,Negative,"['Support', 'Quality']",True,Nicole Anderson,Closed,George Day
Client F,PROJ-026,2026-03-16,CSAT,4.5,Promoter,Wonder long consider care respond want already cut social though firm financial huge spring list already positive experience television answer pretty event son.,Neutral,"['Delivery', 'Communication']",True,James Gonzales,In Progress,Gina Lopez
Client E,PROJ-008,2026-01-14,CSAT,3.6,Passive,Happen something entire bar interesting issue yet Congress family bill foreign fast knowledge response coach know language risk treatment past itself police social arm.,Neutral,"['Quality', 'Pricing']",True,Jennifer Palmer,Closed,Caitlin Johnson
Client I,PROJ-003,2025-12-24,CSAT,4.2,Passive,Question just call door population gun we allow check last he know baby case happen fire everything whether ago control military trial brother simple region Democrat partner.,Positive,"['Quality', 'Support']",True,Yvonne Gonzalez,Closed,Benjamin Thompson
Client J,PROJ-021,2026-01-23,NPS,4.7,Promoter,Young specific whose worry property remember nearly face feel church remember record company gun difference world society door management guess occur level work.,Negative,"['Quality', 'Pricing']",True,Stephen Jones,Closed,Mitchell Mendoza
Client A,PROJ-024,2026-03-07,QBR,4.9,Promoter,Shoulder statement available win politics last quite general there sister policy consider whom item treat area buy check clearly follow remember generation.,Positive,"['Support', 'Quality']",True,Stephanie Singleton,Closed,Mark Pierce
Client J,PROJ-015,2025-12-26,QBR,4.9,Promoter,Person pass behavior political option oil commercial person top front under American tell ball we.,Neutral,"['Communication', 'Support']",True,Deborah Clark,Open,Lisa Johnson
Client D,PROJ-002,2026-04-04,NPS,3.7,Passive,Nation politics few each southern image law read citizen indeed less future century technology floor write generation human set middle blood drop business last cell anything war ten.,Neutral,"['Communication', 'Support']",True,Victor Barrera,Closed,Taylor Griffith
Client A,PROJ-009,2026-04-24,CSAT,4.6,Promoter,Several marriage method material final age war measure whom Democrat good anything manager think pressure like.,Negative,"['Quality', 'Support']",True,Sarah Jordan,Closed,Monica Gallagher
Client I,PROJ-023,2026-06-04,QBR,4.4,Passive,And anything no guy eye hit late near stay perhaps particularly campaign benefit health would newspaper hand certain own husband American.,Negative,"['Quality', 'Support']",True,Micheal Brock,Open,Brittany Barry
Client E,PROJ-019,2026-06-11,CSAT,1.7,Detractor,Foreign party class wrong school federal from stock mother remember feel staff happy purpose woman.,Negative,"['Support', 'Quality']",True,Rebecca Swanson,In Progress,Alyssa Wells
Client B,PROJ-035,2026-03-20,NPS,4.7,Promoter,Officer return on color pick people subject challenge quite all way body affect finish charge real improve simple turn their save artist catch debate foot production.,Neutral,"['Communication', 'Quality']",True,Emily Thompson,Open,Gloria Gomez
Client E,PROJ-031,2026-02-05,CSAT,4.6,Promoter,Particular court east newspaper different win father eye debate relate first give value somebody event business quality here.,Negative,"['Quality', 'Pricing']",True,Sabrina Blevins,Open,Donna Roberts
Client I,PROJ-015,2026-05-25,CSAT,4.6,Promoter,Get kind either look dark Mrs usually receive case past only drug prove most.,Positive,"['Delivery', 'Support']",True,Amy Gutierrez,In Progress,Ashlee Townsend
Client I,PROJ-011,2026-03-27,QBR,4.9,Promoter,Who within citizen present thing little practice sense expert experience arrive shoulder.,Neutral,"['Support', 'Communication']",True,Crystal Rodgers,In Progress,Amanda Dorsey
Client J,PROJ-015,2026-04-28,QBR,4.7,Promoter,Think compare try young however many view while unit theory across nothing blue work expect writer myself management voice surface life cover.,Negative,"['Delivery', 'Communication']",True,Christopher Stevens,In Progress,Cody Doyle
