project_id,project_name,client_name,delivery_unit,project_manager,start_date,expected_end_date,current_phase,rag_status,completion_pct,planned_hours,actual_hours,budget_total,budget_consumed_pct,open_issues,overdue_tasks,risk_flag,last_updated
PROJ-001,Client B Whiteboard One-To-One Web-Readiness Platform,Client I,DU-North,Danielle Taylor,2026-01-02,2026-08-22,Go-Live,GREEN,30.1,760,444,296493,81.2,6,0,,2026-06-11
PROJ-002,Client I Transform E-Business Applications Platform,Client G,DU-North,Allen Robinson,2025-11-24,2026-12-21,Go-Live,GREEN,68.5,2778,253,1691334,48.6,5,0,,2026-06-11
PROJ-003,Client F Deliver Proactive Schemas Platform,Client B,DU-North,Matthew Gardner,2026-01-04,2026-07-30,Go-Live,GREEN,29.4,1292,3140,1877324,85.9,11,5,,2026-06-11
PROJ-004,Client G Enhance Customized Applications Platform,Client B,DU-East,Sean Blake,2026-04-07,2026-11-05,UAT,GREEN,21.2,3462,4929,503258,78.3,2,0,,2026-06-11
PROJ-005,Client B Leverage Cutting-Edge Supply-Chains Platform,Client G,DU-South,Daniel Gallagher,2026-01-10,2026-07-11,Go-Live,GREEN,87.0,3488,1532,876325,33.7,11,3,,2026-06-11
PROJ-006,Client I Transform E-Business Architectures Platform,Client D,DU-North,Ryan Munoz,2025-09-20,2026-11-23,Go-Live,GREEN,67.1,3608,2411,1442176,46.8,17,4,,2026-06-11
PROJ-007,Client F Exploit Revolutionary Bandwidth Platform,Client G,DU-South,Valerie Gray,2025-09-12,2026-08-18,Discovery,GREEN,84.0,2228,4846,1937876,47.6,10,5,,2026-06-11
PROJ-008,Client E Engage Distributed Functionalities Platform,Client C,DU-North,Shannon Ray,2026-03-05,2026-12-02,UAT,GREEN,51.3,4009,4980,937603,47.0,11,7,,2026-06-11
PROJ-009,Client A Unleash Innovative Paradigms Platform,Client B,DU-North,Patricia Galloway,2026-05-02,2026-10-25,Development,GREEN,18.2,3958,5085,233227,47.5,12,2,,2026-06-11
PROJ-010,Client A Iterate Bleeding-Edge Platforms Platform,Client B,DU-East,Jesse Flowers,2026-05-12,2026-08-24,UAT,GREEN,97.4,3286,1113,715514,60.5,13,7,,2026-06-11
